index,product,category,sale_price,brand,description,barcode
27,Odonil Air Freshener,Home Care,1715.86,Reckitt,Reckitt Odonil Air Freshener available in Indian market.,8900000000027
28,Britannia Bread,Food,1837.33,Britannia,Britannia Britannia Bread available in Indian market.,8900000000028
29,Dettol Disinfectant,Home Care,4629.46,SC Johnson,SC Johnson Dettol Disinfectant available in Indian market.,8900000000029
30,Britannia Bread,Food,1211.09,Fortune,Fortune Britannia Bread available in Indian market.,8900000000030
31,Clinic Plus Shampoo,Personal Care,3161.22,Dove,Dove Clinic Plus Shampoo available in Indian market.,8900000000031
32,Dettol Disinfectant,Home Care,3840.53,P&G,P&G Dettol Disinfectant available in Indian market.,8900000000032
33,Mother Dairy Dahi,Dairy,2210.56,Mother Dairy,Mother Dairy Mother Dairy Dahi available in Indian market.,8900000000033
34,Sunsilk Conditioner,Personal Care,209.49,Lifebuoy,Lifebuoy Sunsilk Conditioner available in Indian market.,8900000000034
35,Fortune Sunflower Oil,Food,3627.59,ITC,ITC Fortune Sunflower Oil available in Indian market.,8900000000035
36,Domex Cleaner,Home Care,182.33,Hindustan Unilever,Hindustan Unilever Domex Cleaner available in Indian market.,8900000000036
37,Red Label Tea,Food,673.87,ITC,ITC Red Label Tea available in Indian market.,8900000000037
38,Odonil Air Freshener,Home Care,919.6,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000038
39,Surf Excel,Home Care,1647.24,Hindustan Unilever,Hindustan Unilever Surf Excel available in Indian market.,8900000000039
40,Vim Dishwash Gel,Home Care,685.68,P&G,P&G Vim Dishwash Gel available in Indian market.,8900000000040
41,Raymond Formal Pants,Fashion,3965.35,Allen Solly,Allen Solly Raymond Formal Pants available in Indian market.,8900000000041
42,Peter England Shirt,Fashion,4482.31,Raymond,Raymond Peter England Shirt available in Indian market.,8900000000042
43,Odonil Air Freshener,Home Care,4442.84,P&G,P&G Odonil Air Freshener available in Indian market.,8900000000043
44,Tropicana Orange Juice,Beverages,2357.28,Coca-Cola,Coca-Cola Tropicana Orange Juice available in Indian market.,8900000000044
45,Britannia Cheese Slices,Dairy,3264.59,Mother Dairy,Mother Dairy Britannia Cheese Slices available in Indian market.,8900000000045
46,Harpic Toilet Cleaner,Home Care,4230.2,P&G,P&G Harpic Toilet Cleaner available in Indian market.,8900000000046
47,Amul Paneer,Dairy,1300.81,Mother Dairy,Mother Dairy Amul Paneer available in Indian market.,8900000000047
48,Govardhan Ghee,Dairy,834.28,Britannia,Britannia Govardhan Ghee available in Indian market.,8900000000048
49,Bata Sandals,Fashion,4261.26,Allen Solly,Allen Solly Bata Sandals available in Indian market.,8900000000049
50,Red Bull,Beverages,4353.21,Parle Agro,Parle Agro Red Bull available in Indian market.,8900000000050
51,Odonil Air Freshener,Home Care,2689.65,Reckitt,Reckitt Odonil Air Freshener available in Indian market.,8900000000051
52,Logitech Webcam,Electronics,4274.98,Philips,Philips Logitech Webcam available in Indian market.,8900000000052
53,Coca-Cola 500ml,Beverages,1810.18,Coca-Cola,Coca-Cola Coca-Cola 500ml available in Indian market.,8900000000053
54,Nestle Yogurt,Dairy,1618.72,Britannia,Britannia Nestle Yogurt available in Indian market.,8900000000054
55,Good Day Cookies,Food,2407.68,Parle,Parle Good Day Cookies available in Indian market.,8900000000055
56,Boat Headphones,Electronics,2249.65,Philips,Philips Boat Headphones available in Indian market.,8900000000056
57,Dettol Handwash,Personal Care,1240.17,Emami,Emami Dettol Handwash available in Indian market.,8900000000057
58,Parle-G Biscuits,Food,1458.35,Tata,Tata Parle-G Biscuits available in Indian market.,8900000000058
59,Parle-G Biscuits,Food,4540.1,Haldiram,Haldiram Parle-G Biscuits available in Indian market.,8900000000059
60,Mi Power Bank 10000mAh,Electronics,991.47,HP,HP Mi Power Bank 10000mAh available in Indian market.,8900000000060
61,Britannia Cheese Slices,Dairy,3459.2,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000061
62,Surf Excel,Home Care,99.81,Hindustan Unilever,Hindustan Unilever Surf Excel available in Indian market.,8900000000062
63,Domex Cleaner,Home Care,4982.92,Reckitt,Reckitt Domex Cleaner available in Indian market.,8900000000063
64,Red Bull,Beverages,2046.08,Tropicana,Tropicana Red Bull available in Indian market.,8900000000064
65,Fair & Lovely Cream,Personal Care,768.18,Pears,Pears Fair & Lovely Cream available in Indian market.,8900000000065
66,Mi Power Bank 10000mAh,Electronics,1928.47,Philips,Philips Mi Power Bank 10000mAh available in Indian market.,8900000000066
67,Bata Sandals,Fashion,3487.96,Puma,Puma Bata Sandals available in Indian market.,8900000000067
68,Amul Paneer,Dairy,3251.48,Mother Dairy,Mother Dairy Amul Paneer available in Indian market.,8900000000068
69,Britannia Bread,Food,366.3,Nestle,Nestle Britannia Bread available in Indian market.,8900000000069
70,OnePlus Data Cable,Electronics,4088.55,HP,HP OnePlus Data Cable available in Indian market.,8900000000070
71,Maggi Noodles,Food,766.26,Tata,Tata Maggi Noodles available in Indian market.,8900000000071
72,Samsung Charger,Electronics,203.29,HP,HP Samsung Charger available in Indian market.,8900000000072
73,Surf Excel,Home Care,347.26,Godrej,Godrej Surf Excel available in Indian market.,8900000000073
74,Ambi Pur Air Freshener,Home Care,318.14,SC Johnson,SC Johnson Ambi Pur Air Freshener available in Indian market.,8900000000074
75,Harpic Toilet Cleaner,Home Care,1570.88,SC Johnson,SC Johnson Harpic Toilet Cleaner available in Indian market.,8900000000075
76,Bisleri Water 1L,Beverages,3146.74,Parle Agro,Parle Agro Bisleri Water 1L available in Indian market.,8900000000076
77,Ambi Pur Air Freshener,Home Care,3661.51,SC Johnson,SC Johnson Ambi Pur Air Freshener available in Indian market.,8900000000077
78,Boat Headphones,Electronics,2810.28,Logitech,Logitech Boat Headphones available in Indian market.,8900000000078
79,Dove Shampoo,Personal Care,231.16,Emami,Emami Dove Shampoo available in Indian market.,8900000000079
80,Dettol Handwash,Personal Care,2007.18,Dove,Dove Dettol Handwash available in Indian market.,8900000000080
81,Pepsi 500ml,Beverages,3285.68,Dabur,Dabur Pepsi 500ml available in Indian market.,8900000000081
82,Dettol Handwash,Personal Care,782.77,Emami,Emami Dettol Handwash available in Indian market.,8900000000082
83,Coca-Cola 500ml,Beverages,4431.87,Parle Agro,Parle Agro Coca-Cola 500ml available in Indian market.,8900000000083
84,Frooti Mango Drink,Beverages,4853.08,Dabur,Dabur Frooti Mango Drink available in Indian market.,8900000000084
85,Odonil Air Freshener,Home Care,82.48,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000085
86,Amul Taaza Milk,Dairy,4307.7,Nestle,Nestle Amul Taaza Milk available in Indian market.,8900000000086
87,Clinic Plus Shampoo,Personal Care,1594.15,Dettol,Dettol Clinic Plus Shampoo available in Indian market.,8900000000087
88,Govardhan Ghee,Dairy,3746.38,Mother Dairy,Mother Dairy Govardhan Ghee available in Indian market.,8900000000088
89,Amul Taaza Milk,Dairy,1076.51,Mother Dairy,Mother Dairy Amul Taaza Milk available in Indian market.,8900000000089
90,Boat Headphones,Electronics,2082.34,Boat,Boat Boat Headphones available in Indian market.,8900000000090
91,Mi Power Bank 10000mAh,Electronics,158.12,Philips,Philips Mi Power Bank 10000mAh available in Indian market.,8900000000091
92,Raymond Formal Pants,Fashion,111.34,Allen Solly,Allen Solly Raymond Formal Pants available in Indian market.,8900000000092
93,Pepsi 500ml,Beverages,2686.81,Parle Agro,Parle Agro Pepsi 500ml available in Indian market.,8900000000093
94,Boat Headphones,Electronics,841.81,Mi,Mi Boat Headphones available in Indian market.,8900000000094
95,Good Day Cookies,Food,2666.63,Haldiram,Haldiram Good Day Cookies available in Indian market.,8900000000095
96,Real Fruit Juice,Beverages,352.94,Coca-Cola,Coca-Cola Real Fruit Juice available in Indian market.,8900000000096
97,Raymond Formal Pants,Fashion,457.13,Bata,Bata Raymond Formal Pants available in Indian market.,8900000000097
98,Logitech Webcam,Electronics,4544.23,Samsung,Samsung Logitech Webcam available in Indian market.,8900000000098
99,Red Bull,Beverages,4944.63,Coca-Cola,Coca-Cola Red Bull available in Indian market.,8900000000099
100,Coca-Cola 500ml,Beverages,4985.55,Parle Agro,Parle Agro Coca-Cola 500ml available in Indian market.,8900000000100
101,Colgate Toothpaste,Personal Care,4772.56,Colgate,Colgate Colgate Toothpaste available in Indian market.,8900000000101
102,Dove Shampoo,Personal Care,1010.66,Colgate,Colgate Dove Shampoo available in Indian market.,8900000000102
103,Dove Shampoo,Personal Care,1516.53,Colgate,Colgate Dove Shampoo available in Indian market.,8900000000103
104,Clinic Plus Shampoo,Personal Care,3586.21,Dove,Dove Clinic Plus Shampoo available in Indian market.,8900000000104
105,Logitech Webcam,Electronics,1888.71,OnePlus,OnePlus Logitech Webcam available in Indian market.,8900000000105
106,Mother Dairy Dahi,Dairy,2856.49,Britannia,Britannia Mother Dairy Dahi available in Indian market.,8900000000106
107,Sunsilk Conditioner,Personal Care,2493.57,Dettol,Dettol Sunsilk Conditioner available in Indian market.,8900000000107
108,Haldiram Bhujia,Food,3232.33,Britannia,Britannia Haldiram Bhujia available in Indian market.,8900000000108
109,Allen Solly Belt,Fashion,4641.18,Peter England,Peter England Allen Solly Belt available in Indian market.,8900000000109
110,Samsung Charger,Electronics,3493.27,OnePlus,OnePlus Samsung Charger available in Indian market.,8900000000110
111,Britannia Cheese Slices,Dairy,1127.96,Britannia,Britannia Britannia Cheese Slices available in Indian market.,8900000000111
112,Vim Dishwash Gel,Home Care,644.19,Godrej,Godrej Vim Dishwash Gel available in Indian market.,8900000000112
113,Harpic Toilet Cleaner,Home Care,4520.82,Hindustan Unilever,Hindustan Unilever Harpic Toilet Cleaner available in Indian market.,8900000000113
114,Nike Shoes,Fashion,796.25,Bata,Bata Nike Shoes available in Indian market.,8900000000114
115,Peter England Shirt,Fashion,211.32,Raymond,Raymond Peter England Shirt available in Indian market.,8900000000115
116,Bata Sandals,Fashion,4510.95,Puma,Puma Bata Sandals available in Indian market.,8900000000116
117,Pears Soap,Personal Care,2827.32,Dettol,Dettol Pears Soap available in Indian market.,8900000000117
118,Amul Cheese,Dairy,654.08,Govardhan,Govardhan Amul Cheese available in Indian market.,8900000000118
119,Govardhan Ghee,Dairy,278.17,Nestle,Nestle Govardhan Ghee available in Indian market.,8900000000119
120,Aashirvaad Atta,Food,3514.05,ITC,ITC Aashirvaad Atta available in Indian market.,8900000000120
121,Frooti Mango Drink,Beverages,3986.01,Coca-Cola,Coca-Cola Frooti Mango Drink available in Indian market.,8900000000121
122,Mi Power Bank 10000mAh,Electronics,2666.98,Logitech,Logitech Mi Power Bank 10000mAh available in Indian market.,8900000000122
123,Lifebuoy Handwash,Personal Care,4259.96,Dettol,Dettol Lifebuoy Handwash available in Indian market.,8900000000123
124,Sunsilk Conditioner,Personal Care,109.69,Colgate,Colgate Sunsilk Conditioner available in Indian market.,8900000000124
125,Mother Dairy Dahi,Dairy,4883.16,Nestle,Nestle Mother Dairy Dahi available in Indian market.,8900000000125
126,Vim Dishwash Gel,Home Care,4460.1,P&G,P&G Vim Dishwash Gel available in Indian market.,8900000000126
127,Good Day Cookies,Food,4589.23,Parle,Parle Good Day Cookies available in Indian market.,8900000000127
128,Zebronics Mouse,Electronics,4387.09,Samsung,Samsung Zebronics Mouse available in Indian market.,8900000000128
129,Britannia Bread,Food,3429.43,Parle,Parle Britannia Bread available in Indian market.,8900000000129
130,Logitech Webcam,Electronics,767.06,Samsung,Samsung Logitech Webcam available in Indian market.,8900000000130
131,Levis Jeans,Fashion,1864.92,Van Heusen,Van Heusen Levis Jeans available in Indian market.,8900000000131
132,Harpic Toilet Cleaner,Home Care,3148.18,Hindustan Unilever,Hindustan Unilever Harpic Toilet Cleaner available in Indian market.,8900000000132
133,Pepsi 500ml,Beverages,1113.99,Parle Agro,Parle Agro Pepsi 500ml available in Indian market.,8900000000133
134,Dettol Handwash,Personal Care,491.34,Pears,Pears Dettol Handwash available in Indian market.,8900000000134
135,Nike Shoes,Fashion,1826.26,Levis,Levis Nike Shoes available in Indian market.,8900000000135
136,Van Heusen Tie,Fashion,2677.28,Raymond,Raymond Van Heusen Tie available in Indian market.,8900000000136
137,Bisleri Water 1L,Beverages,15.66,Coca-Cola,Coca-Cola Bisleri Water 1L available in Indian market.,8900000000137
138,Peter England Shirt,Fashion,3952.24,Bata,Bata Peter England Shirt available in Indian market.,8900000000138
139,Aashirvaad Atta,Food,2855.02,Parle,Parle Aashirvaad Atta available in Indian market.,8900000000139
140,Harpic Toilet Cleaner,Home Care,576.23,Godrej,Godrej Harpic Toilet Cleaner available in Indian market.,8900000000140
141,Britannia Cheese Slices,Dairy,1638.74,Nestle,Nestle Britannia Cheese Slices available in Indian market.,8900000000141
142,Allen Solly Belt,Fashion,2953.5,Nike,Nike Allen Solly Belt available in Indian market.,8900000000142
143,Harpic Toilet Cleaner,Home Care,2895.67,Godrej,Godrej Harpic Toilet Cleaner available in Indian market.,8900000000143
144,Dettol Handwash,Personal Care,4257.02,Dettol,Dettol Dettol Handwash available in Indian market.,8900000000144
145,Van Heusen Tie,Fashion,3274.61,Raymond,Raymond Van Heusen Tie available in Indian market.,8900000000145
146,Paper Boat Drink,Beverages,4387.36,PepsiCo,PepsiCo Paper Boat Drink available in Indian market.,8900000000146
147,Coca-Cola 500ml,Beverages,3068.34,Coca-Cola,Coca-Cola Coca-Cola 500ml available in Indian market.,8900000000147
148,Peter England Shirt,Fashion,587.44,Raymond,Raymond Peter England Shirt available in Indian market.,8900000000148
149,Harpic Toilet Cleaner,Home Care,159.65,Hindustan Unilever,Hindustan Unilever Harpic Toilet Cleaner available in Indian market.,8900000000149
150,Britannia Bread,Food,4718.75,Nestle,Nestle Britannia Bread available in Indian market.,8900000000150
151,Haldiram Bhujia,Food,1002.59,Nestle,Nestle Haldiram Bhujia available in Indian market.,8900000000151
152,Nestle Yogurt,Dairy,3741.93,Britannia,Britannia Nestle Yogurt available in Indian market.,8900000000152
153,Vim Dishwash Gel,Home Care,1791.48,Hindustan Unilever,Hindustan Unilever Vim Dishwash Gel available in Indian market.,8900000000153
154,Amul Paneer,Dairy,105.27,Nestle,Nestle Amul Paneer available in Indian market.,8900000000154
155,Amul Cheese,Dairy,1367.81,Britannia,Britannia Amul Cheese available in Indian market.,8900000000155
156,Ambi Pur Air Freshener,Home Care,2384.09,P&G,P&G Ambi Pur Air Freshener available in Indian market.,8900000000156
157,Odonil Air Freshener,Home Care,745.12,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000157
158,Pears Soap,Personal Care,2663.22,Emami,Emami Pears Soap available in Indian market.,8900000000158
159,Amul Butter,Dairy,3350.34,Govardhan,Govardhan Amul Butter available in Indian market.,8900000000159
160,HP Keyboard,Electronics,1286.63,Boat,Boat HP Keyboard available in Indian market.,8900000000160
161,HP Keyboard,Electronics,2090.69,HP,HP HP Keyboard available in Indian market.,8900000000161
162,Mi Power Bank 10000mAh,Electronics,3854.39,Boat,Boat Mi Power Bank 10000mAh available in Indian market.,8900000000162
163,Britannia Cheese Slices,Dairy,352.17,Britannia,Britannia Britannia Cheese Slices available in Indian market.,8900000000163
164,Clinic Plus Shampoo,Personal Care,1665.37,Emami,Emami Clinic Plus Shampoo available in Indian market.,8900000000164
165,Philips Trimmer,Electronics,3128.3,Mi,Mi Philips Trimmer available in Indian market.,8900000000165
166,Good Day Cookies,Food,4962.32,Britannia,Britannia Good Day Cookies available in Indian market.,8900000000166
167,Dettol Disinfectant,Home Care,1479.08,Reckitt,Reckitt Dettol Disinfectant available in Indian market.,8900000000167
168,Coca-Cola 500ml,Beverages,1799.59,PepsiCo,PepsiCo Coca-Cola 500ml available in Indian market.,8900000000168
169,Boat Headphones,Electronics,3596.54,Mi,Mi Boat Headphones available in Indian market.,8900000000169
170,Clinic Plus Shampoo,Personal Care,1593.85,Colgate,Colgate Clinic Plus Shampoo available in Indian market.,8900000000170
171,Dove Shampoo,Personal Care,2608.39,Pears,Pears Dove Shampoo available in Indian market.,8900000000171
172,Amul Butter,Dairy,3181.02,Nestle,Nestle Amul Butter available in Indian market.,8900000000172
173,Red Label Tea,Food,4409.88,ITC,ITC Red Label Tea available in Indian market.,8900000000173
174,Dettol Disinfectant,Home Care,450.73,P&G,P&G Dettol Disinfectant available in Indian market.,8900000000174
175,Fortune Sunflower Oil,Food,229.22,Tata,Tata Fortune Sunflower Oil available in Indian market.,8900000000175
176,Britannia Bread,Food,2250.43,ITC,ITC Britannia Bread available in Indian market.,8900000000176
177,Tata Salt,Food,2561.7,Tata,Tata Tata Salt available in Indian market.,8900000000177
178,Raymond Formal Pants,Fashion,2610.68,Allen Solly,Allen Solly Raymond Formal Pants available in Indian market.,8900000000178
179,Raymond Formal Pants,Fashion,3109.86,Van Heusen,Van Heusen Raymond Formal Pants available in Indian market.,8900000000179
180,Peter England Shirt,Fashion,2560.99,Peter England,Peter England Peter England Shirt available in Indian market.,8900000000180
181,Allen Solly Belt,Fashion,3429.27,Peter England,Peter England Allen Solly Belt available in Indian market.,8900000000181
182,Red Label Tea,Food,3079.68,Haldiram,Haldiram Red Label Tea available in Indian market.,8900000000182
183,Van Heusen Tie,Fashion,3298.32,Peter England,Peter England Van Heusen Tie available in Indian market.,8900000000183
184,Real Fruit Juice,Beverages,221.87,Coca-Cola,Coca-Cola Real Fruit Juice available in Indian market.,8900000000184
185,Bata Sandals,Fashion,4110.1,Allen Solly,Allen Solly Bata Sandals available in Indian market.,8900000000185
186,Lifebuoy Handwash,Personal Care,1735.63,Emami,Emami Lifebuoy Handwash available in Indian market.,8900000000186
187,Pears Soap,Personal Care,2139.7,Emami,Emami Pears Soap available in Indian market.,8900000000187
188,Frooti Mango Drink,Beverages,742.85,Tropicana,Tropicana Frooti Mango Drink available in Indian market.,8900000000188
189,Frooti Mango Drink,Beverages,2031.0,Dabur,Dabur Frooti Mango Drink available in Indian market.,8900000000189
190,Clinic Plus Shampoo,Personal Care,2794.73,Pears,Pears Clinic Plus Shampoo available in Indian market.,8900000000190
191,Fortune Sunflower Oil,Food,450.2,ITC,ITC Fortune Sunflower Oil available in Indian market.,8900000000191
192,Mother Dairy Dahi,Dairy,4021.74,Govardhan,Govardhan Mother Dairy Dahi available in Indian market.,8900000000192
193,Govardhan Ghee,Dairy,2443.23,Govardhan,Govardhan Govardhan Ghee available in Indian market.,8900000000193
194,Dettol Disinfectant,Home Care,2010.15,Godrej,Godrej Dettol Disinfectant available in Indian market.,8900000000194
195,Puma Sports T-Shirt,Fashion,1228.58,Raymond,Raymond Puma Sports T-Shirt available in Indian market.,8900000000195
196,Amul Butter,Dairy,2777.99,Nestle,Nestle Amul Butter available in Indian market.,8900000000196
197,Puma Sports T-Shirt,Fashion,2585.12,Bata,Bata Puma Sports T-Shirt available in Indian market.,8900000000197
198,Odonil Air Freshener,Home Care,1635.66,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000198
199,Samsung Charger,Electronics,2030.74,Philips,Philips Samsung Charger available in Indian market.,8900000000199
200,Paper Boat Drink,Beverages,474.39,Dabur,Dabur Paper Boat Drink available in Indian market.,8900000000200
201,Mi Power Bank 10000mAh,Electronics,498.03,Philips,Philips Mi Power Bank 10000mAh available in Indian market.,8900000000201
202,Zebronics Mouse,Electronics,3501.93,Logitech,Logitech Zebronics Mouse available in Indian market.,8900000000202
203,Pears Soap,Personal Care,1292.16,Dettol,Dettol Pears Soap available in Indian market.,8900000000203
204,Raymond Formal Pants,Fashion,1415.27,Raymond,Raymond Raymond Formal Pants available in Indian market.,8900000000204
205,Govardhan Ghee,Dairy,4959.39,Nestle,Nestle Govardhan Ghee available in Indian market.,8900000000205
206,Red Bull,Beverages,2782.52,Parle Agro,Parle Agro Red Bull available in Indian market.,8900000000206
207,Nestle Yogurt,Dairy,1875.55,Nestle,Nestle Nestle Yogurt available in Indian market.,8900000000207
208,Amul Taaza Milk,Dairy,2390.25,Govardhan,Govardhan Amul Taaza Milk available in Indian market.,8900000000208
209,Sunsilk Conditioner,Personal Care,3109.6,Hindustan Unilever,Hindustan Unilever Sunsilk Conditioner available in Indian market.,8900000000209
210,Mi Power Bank 10000mAh,Electronics,139.25,Zebronics,Zebronics Mi Power Bank 10000mAh available in Indian market.,8900000000210
211,Nike Shoes,Fashion,4964.48,Peter England,Peter England Nike Shoes available in Indian market.,8900000000211
212,Red Label Tea,Food,2010.28,Haldiram,Haldiram Red Label Tea available in Indian market.,8900000000212
213,Bata Sandals,Fashion,3262.48,Van Heusen,Van Heusen Bata Sandals available in Indian market.,8900000000213
214,Haldiram Bhujia,Food,3541.58,Nestle,Nestle Haldiram Bhujia available in Indian market.,8900000000214
215,Raymond Formal Pants,Fashion,1573.38,Nike,Nike Raymond Formal Pants available in Indian market.,8900000000215
216,Domex Cleaner,Home Care,898.1,Godrej,Godrej Domex Cleaner available in Indian market.,8900000000216
217,Dettol Disinfectant,Home Care,1762.45,Hindustan Unilever,Hindustan Unilever Dettol Disinfectant available in Indian market.,8900000000217
218,Samsung Charger,Electronics,901.2,Mi,Mi Samsung Charger available in Indian market.,8900000000218
219,Amul Paneer,Dairy,3426.91,Mother Dairy,Mother Dairy Amul Paneer available in Indian market.,8900000000219
220,Vim Dishwash Gel,Home Care,158.47,Reckitt,Reckitt Vim Dishwash Gel available in Indian market.,8900000000220
221,Parle-G Biscuits,Food,1565.96,Nestle,Nestle Parle-G Biscuits available in Indian market.,8900000000221
222,Bata Sandals,Fashion,3367.25,Raymond,Raymond Bata Sandals available in Indian market.,8900000000222
223,Lifebuoy Handwash,Personal Care,1026.72,Lifebuoy,Lifebuoy Lifebuoy Handwash available in Indian market.,8900000000223
224,Van Heusen Tie,Fashion,2621.4,Puma,Puma Van Heusen Tie available in Indian market.,8900000000224
225,Britannia Cheese Slices,Dairy,1437.9,Amul,Amul Britannia Cheese Slices available in Indian market.,8900000000225
226,Paper Boat Drink,Beverages,152.77,PepsiCo,PepsiCo Paper Boat Drink available in Indian market.,8900000000226
227,Real Fruit Juice,Beverages,4197.44,Tropicana,Tropicana Real Fruit Juice available in Indian market.,8900000000227
228,Red Bull,Beverages,1986.22,Parle Agro,Parle Agro Red Bull available in Indian market.,8900000000228
229,Amul Taaza Milk,Dairy,2033.41,Nestle,Nestle Amul Taaza Milk available in Indian market.,8900000000229
230,Clinic Plus Shampoo,Personal Care,2674.34,Pears,Pears Clinic Plus Shampoo available in Indian market.,8900000000230
231,Paper Boat Drink,Beverages,2291.18,Tropicana,Tropicana Paper Boat Drink available in Indian market.,8900000000231
232,Red Label Tea,Food,1848.87,ITC,ITC Red Label Tea available in Indian market.,8900000000232
233,Boat Headphones,Electronics,4300.38,Mi,Mi Boat Headphones available in Indian market.,8900000000233
234,Coca-Cola 500ml,Beverages,149.99,Tropicana,Tropicana Coca-Cola 500ml available in Indian market.,8900000000234
235,Philips Trimmer,Electronics,257.06,Samsung,Samsung Philips Trimmer available in Indian market.,8900000000235
236,Sunsilk Conditioner,Personal Care,865.99,Dettol,Dettol Sunsilk Conditioner available in Indian market.,8900000000236
237,Real Fruit Juice,Beverages,3796.14,Dabur,Dabur Real Fruit Juice available in Indian market.,8900000000237
238,Allen Solly Belt,Fashion,4630.09,Allen Solly,Allen Solly Allen Solly Belt available in Indian market.,8900000000238
239,Aashirvaad Atta,Food,3806.62,ITC,ITC Aashirvaad Atta available in Indian market.,8900000000239
240,Red Label Tea,Food,603.72,ITC,ITC Red Label Tea available in Indian market.,8900000000240
241,Raymond Formal Pants,Fashion,2125.56,Raymond,Raymond Raymond Formal Pants available in Indian market.,8900000000241
242,Amul Butter,Dairy,3290.69,Govardhan,Govardhan Amul Butter available in Indian market.,8900000000242
243,Peter England Shirt,Fashion,4198.1,Peter England,Peter England Peter England Shirt available in Indian market.,8900000000243
244,Paper Boat Drink,Beverages,312.24,Coca-Cola,Coca-Cola Paper Boat Drink available in Indian market.,8900000000244
245,Odonil Air Freshener,Home Care,1579.15,SC Johnson,SC Johnson Odonil Air Freshener available in Indian market.,8900000000245
246,Dettol Disinfectant,Home Care,3769.7,Reckitt,Reckitt Dettol Disinfectant available in Indian market.,8900000000246
247,Lizol Floor Cleaner,Home Care,2073.02,P&G,P&G Lizol Floor Cleaner available in Indian market.,8900000000247
248,Colgate Toothpaste,Personal Care,4655.73,Pears,Pears Colgate Toothpaste available in Indian market.,8900000000248
249,Red Label Tea,Food,622.04,Nestle,Nestle Red Label Tea available in Indian market.,8900000000249
250,Samsung Charger,Electronics,781.67,HP,HP Samsung Charger available in Indian market.,8900000000250
251,Paper Boat Drink,Beverages,1970.87,Parle Agro,Parle Agro Paper Boat Drink available in Indian market.,8900000000251
252,Aashirvaad Atta,Food,4957.42,Britannia,Britannia Aashirvaad Atta available in Indian market.,8900000000252
253,Van Heusen Tie,Fashion,1920.94,Bata,Bata Van Heusen Tie available in Indian market.,8900000000253
